member_id,first_name,last_name,gender,mobile_number,email,inscription_date,birthdate,is_ride_owner,license_driving_number,license_driving_date,pet_preference,smoking_preference,bank_account
mem-2926213,Lynetta,Hutcheson,M,+33 632 575041,Lynetta_Hutcheson56@hotmail.com,2017-04-30,1967-8-21,0,,,yes,yes,FR58131344798198886
mem-6123422,Maribeth,Pesina,F,+33 632 763653,Maribeth_Pesina39@mail.com,2019-10-21,1967-9-6,0,,,yes,yes,UK13322416176017248
mem-2027330,Lynetta,Randall,M,+33 632 952863,Lynetta-Randall68@mail.com,2018-04-17,1995-1-2,1,lic-426/130320556,2017-7-18,no,no,FR10817424677142657
mem-4344480,Kiersten,Wertman,M,+33 632 665440,Kiersten-Wertman42@mail.com,2018-04-24,1987-5-28,1,lic-619/838918491,2006-1-25,no,no,UK20608490194469612
mem-7167156,Tam,Watlington,M,+33 632 152918,Tam.Watlington87@outlook.com,2018-08-10,1995-8-7,0,,,yes,no,DE66239067996750393
mem-1988561,Marcy,Escobar,M,+33 632 950045,Marcy.Escobar41@outlook.com,2018-08-22,1991-1-6,1,lic-916/276438921,2011-9-28,yes,yes,DE68860697708118745
mem-9611221,Jeanine,Winburn,F,+33 632 298789,Jeanine-Winburn52@mail.com,2019-09-05,1966-3-12,0,,,no,yes,LU29586576799620767
mem-2509055,Jeanine,Bearden,M,+33 632 846988,Jeanine.Bearden82@gmail.com,2017-05-10,2000-7-28,0,,,no,yes,LU28114830654261703
mem-4903288,Kimberley,Winburn,M,+33 632 718605,Kimberley.Winburn69@mail.com,2019-01-13,1997-4-20,0,,,no,no,UK21833837977846189
mem-3980469,Steffanie,Mcenaney,F,+33 632 482370,Steffanie.Mcenaney98@mail.com,2019-12-01,1969-3-2,0,,,yes,yes,FR25753889506279184
mem-4097319,Kimberley,Iraheta,F,+33 632 816504,Kimberley.Iraheta80@HEC.com,2017-04-16,1976-7-21,1,lic-354/146784666,1996-3-21,yes,no,DE35322753365467860
mem-8550994,Tam,Winburn,F,+33 632 102978,Tam_Winburn29@HEC.com,2018-03-20,1998-1-19,0,,,no,no,UK84900591869915748
mem-1446885,Tam,Mcenaney,M,+33 632 542329,Tam-Mcenaney90@mail.com,2017-04-08,1978-1-16,0,,,yes,yes,UK81809089379411887
mem-6486914,Mao,Trevizo,M,+33 632 703135,Mao.Trevizo58@mail.com,2018-03-17,2001-7-1,0,,,yes,yes,DE36791685191834401
mem-7196858,Marcy,Callejas,M,+33 632 201706,Marcy_Callejas70@outlook.com,2018-04-10,1981-6-12,0,,,yes,no,DE80233716841859325
mem-1201687,Clorinda,Hartwell,F,+33 632 783507,Clorinda.Hartwell24@outlook.com,2019-12-29,1980-5-11,0,,,no,no,LU59223392765192943
mem-5654890,Shyla,Winburn,F,+33 632 883757,Shyla.Winburn30@gmail.com,2017-08-29,1985-5-4,0,,,no,no,LU88690193715358171
mem-5674753,Jaleesa,Guglielmo,M,+33 632 109657,Jaleesa.Guglielmo73@outlook.com,2018-10-18,1979-8-25,1,lic-213/221078575,2002-10-20,yes,yes,DE14997751946544833
mem-9254258,Chang,Pacifico,M,+33 632 316326,Chang-Pacifico57@gmail.com,2019-03-28,1970-9-13,0,,,yes,yes,FR79493118107585372
mem-6261940,Shyla,Guglielmo,M,+33 632 758855,Shyla-Guglielmo95@HEC.com,2017-07-03,1992-8-24,0,,,yes,yes,DE50525463782743968
mem-4796329,Maribeth,Callejas,F,+33 632 266381,Maribeth_Callejas12@HEC.com,2019-09-16,1991-1-27,1,lic-633/541221917,2015-1-26,yes,yes,DE88812969815959932
mem-1541797,Chang,Bearden,M,+33 632 182151,Chang-Bearden87@hotmail.com,2019-03-14,1979-7-8,0,,,no,yes,UK72944025409019757
mem-1525114,Marcy,Shelley,M,+33 632 240240,Marcy.Shelley93@outlook.com,2018-06-11,1982-2-27,0,,,yes,no,DE77711393008288778
mem-1220038,Mammie,Dirks,F,+33 632 858411,Mammie-Dirks32@outlook.com,2019-09-24,1986-2-15,0,,,yes,yes,UK25934944562683765
mem-2883275,Steffanie,Botsford,F,+33 632 243401,Steffanie.Botsford57@gmail.com,2018-04-14,1979-11-28,0,,,yes,yes,LU59426487734598183
mem-5961838,Zelma,Hartwell,M,+33 632 561310,Zelma-Hartwell63@hotmail.com,2017-05-17,1965-7-13,0,,,yes,no,UK12147283639411431
mem-1353047,Mao,Watlington,F,+33 632 652350,Mao_Watlington70@mail.com,2017-01-17,1974-2-28,1,lic-840/875602015,1995-9-25,no,no,DE84321316576191471
mem-9916130,Zelma,Guglielmo,M,+33 632 461665,Zelma.Guglielmo55@mail.com,2019-10-26,1988-10-13,0,,,no,yes,FR28481673417293149
mem-2758152,Kimberley,Shelley,F,+33 632 337195,Kimberley_Shelley70@gmail.com,2017-06-18,1989-8-10,0,,,no,yes,LU44885115951753899
mem-5617608,Mao,Hutcheson,F,+33 632 730497,Mao.Hutcheson89@gmail.com,2017-01-19,1995-11-21,0,,,yes,no,FR23443817936714237
mem-5830958,Lynetta,Pesina,F,+33 632 141230,Lynetta-Pesina57@mail.com,2019-02-26,1973-3-13,0,,,yes,yes,LU13640339982135618
mem-7833095,Marcy,Pointer,F,+33 632 165882,Marcy_Pointer70@yahoo.com,2019-04-17,1965-8-10,1,lic-797/613542664,1989-1-28,no,yes,UK27126584878852515
mem-6437439,Tam,Pointer,F,+33 632 507970,Tam-Pointer11@outlook.com,2018-03-08,1968-6-1,0,,,yes,yes,LU25724448553329753
mem-7442928,Steffanie,Pacifico,M,+33 632 614768,Steffanie_Pacifico98@HEC.com,2017-02-21,2001-11-10,1,lic-733/102075177,2021-6-28,no,yes,LU22671048598580868
mem-9042938,Rene,Bianchi,M,+33 632 318101,Rene_Bianchi31@gmail.com,2019-05-21,1980-4-28,0,,,no,no,FR16126999986519103
mem-2677806,Clorinda,Hutcheson,F,+33 632 796638,Clorinda_Hutcheson14@mail.com,2017-11-30,1987-8-4,0,,,no,no,FR72198683409435794
mem-7287474,Yolanda,Bianchi,F,+33 632 331369,Yolanda.Bianchi95@hotmail.com,2018-02-06,1978-5-22,0,,,no,no,UK59173117218990136
mem-9732887,Mao,Escobar,F,+33 632 446587,Mao-Escobar68@outlook.com,2018-11-20,1986-3-27,0,,,no,no,DE82325293291579806
mem-5605301,Kiersten,Iraheta,F,+33 632 116882,Kiersten-Iraheta27@outlook.com,2017-01-17,1985-1-8,0,,,yes,no,LU21268050464460466
mem-7257451,Shyla,Botsford,M,+33 632 912790,Shyla.Botsford89@gmail.com,2019-08-05,1968-4-24,0,,,yes,yes,UK38520871666208518
mem-1860416,Danyel,Mcenaney,M,+33 632 850379,Danyel_Mcenaney43@yahoo.com,2018-04-11,1981-9-27,0,,,no,no,DE10999053931465887
mem-8954067,Tam,Escobar,F,+33 632 206419,Tam-Escobar12@mail.com,2018-05-14,1970-1-14,0,,,no,yes,LU94274189205290654
mem-9629145,Danyel,Iraheta,M,+33 632 733962,Danyel_Iraheta35@hotmail.com,2019-10-02,1978-10-23,0,,,yes,no,LU96661181357458961
mem-3267423,Steffanie,Pointer,F,+33 632 721128,Steffanie-Pointer25@hotmail.com,2017-12-25,1982-8-2,0,,,no,yes,FR70231629759445252
mem-6510799,Kiersten,Wertman,M,+33 632 255337,Kiersten_Wertman66@gmail.com,2018-07-10,1978-6-20,0,,,yes,yes,DE47843233837283546
mem-6250900,Jeanine,Hartwell,F,+33 632 422295,Jeanine.Hartwell74@hotmail.com,2019-09-25,1971-2-15,0,,,no,yes,DE29464733396281298
mem-4003334,Yolanda,Shelley,F,+33 632 696312,Yolanda.Shelley32@outlook.com,2017-01-05,1988-3-22,0,,,yes,no,DE67782583103997264
mem-1703083,Steffanie,Iraheta,F,+33 632 251490,Steffanie.Iraheta25@hotmail.com,2017-11-27,1985-9-9,0,,,no,no,LU15852743592058406
mem-4948829,Rene,Randall,M,+33 632 221902,Rene-Randall96@outlook.com,2018-11-29,1983-9-9,0,,,yes,no,LU57394425757388879
mem-7781385,Danyel,Pacifico,F,+33 632 949549,Danyel.Pacifico89@mail.com,2019-06-15,1996-5-3,0,,,yes,yes,DE91120327815420389
mem-3565334,Danyel,Callejas,M,+33 632 182668,Danyel.Callejas71@yahoo.com,2017-09-10,1994-9-23,1,lic-930/439488785,2014-11-4,no,no,UK25148736232117673
mem-2407091,Rene,Mcenaney,F,+33 632 366745,Rene_Mcenaney93@mail.com,2017-06-10,1971-3-1,0,,,yes,yes,UK33843574624254601
mem-2311238,Tam,Iraheta,M,+33 632 744421,Tam.Iraheta78@gmail.com,2019-02-21,2000-1-18,1,lic-836/816979262,2023-1-17,no,no,FR83716838074960732
mem-8252770,Shyla,Shelley,M,+33 632 754026,Shyla_Shelley52@yahoo.com,2018-06-27,1985-1-27,0,,,no,no,DE42582758133544684
mem-6546690,Zelma,Botsford,F,+33 632 313737,Zelma-Botsford20@HEC.com,2017-02-23,1990-10-20,0,,,no,no,FR47105797617815424
mem-1391067,Kimberley,Iraheta,F,+33 632 959649,Kimberley.Iraheta52@HEC.com,2018-01-29,2000-8-15,1,lic-830/576784415,2019-7-5,no,yes,LU70754435134838781
mem-5188915,Jaleesa,Pesina,F,+33 632 424785,Jaleesa_Pesina57@gmail.com,2019-06-21,1985-4-1,0,,,no,no,FR77679899783041694
mem-6707135,Rene,Hartwell,F,+33 632 644440,Rene.Hartwell14@hotmail.com,2018-07-16,1990-2-19,0,,,no,yes,UK32652641369794224
mem-9303023,Steffanie,Dirks,F,+33 632 890749,Steffanie_Dirks84@mail.com,2017-03-12,1971-4-20,0,,,no,no,DE24378856517545887
mem-7565092,Jenniffer,Shelley,F,+33 632 454573,Jenniffer_Shelley92@yahoo.com,2019-07-14,1981-4-4,0,,,no,yes,FR61593313653732345
mem-3716538,Zelma,Pointer,F,+33 632 140349,Zelma.Pointer96@outlook.com,2018-11-26,1971-8-16,0,,,yes,yes,LU66840078341047836
mem-5911536,Zelma,Randall,M,+33 632 666948,Zelma.Randall52@hotmail.com,2017-01-24,1987-4-7,0,,,no,yes,UK39691535705904658
mem-8802778,Jeanine,Iraheta,M,+33 632 597152,Jeanine.Iraheta31@outlook.com,2018-10-04,1999-9-2,0,,,yes,yes,UK48493054898803664
mem-5954620,Danyel,Hutcheson,F,+33 632 466102,Danyel.Hutcheson67@hotmail.com,2019-02-27,1995-11-18,0,,,no,yes,LU62464941097734412
mem-1462013,Mao,Pesina,M,+33 632 571698,Mao_Pesina15@mail.com,2017-02-24,1982-3-18,1,lic-221/107550971,2001-1-29,yes,yes,DE60370811829680153
mem-1243151,Jeanine,Escobar,M,+33 632 266669,Jeanine-Escobar93@outlook.com,2019-04-21,1973-8-25,1,lic-386/349539616,1994-1-4,no,no,UK80120252351161393
mem-8540471,Danyel,Iraheta,M,+33 632 826514,Danyel-Iraheta90@mail.com,2019-07-16,1973-1-20,0,,,yes,yes,LU34119033103324464
mem-5284809,Jeanine,Shelley,M,+33 632 796596,Jeanine.Shelley21@hotmail.com,2017-11-21,1975-2-23,0,,,yes,no,LU80410866181536989
mem-7251531,Rene,Wertman,F,+33 632 135292,Rene_Wertman31@yahoo.com,2018-02-08,1999-3-12,1,lic-390/166931358,2017-2-3,no,yes,LU35334835693859962
mem-2964127,Mao,Pointer,F,+33 632 429066,Mao_Pointer13@hotmail.com,2019-02-24,1979-3-1,0,,,yes,yes,FR14419165889624100
mem-7020040,Danyel,Bearden,M,+33 632 855155,Danyel-Bearden18@HEC.com,2018-03-11,2001-8-21,0,,,yes,yes,DE93137896563636225
mem-3967691,Zelma,Callejas,F,+33 632 449692,Zelma-Callejas55@hotmail.com,2017-05-04,1985-6-18,0,,,no,yes,FR59980158184532995
mem-3333107,Kiersten,Escobar,F,+33 632 181235,Kiersten_Escobar43@mail.com,2019-02-04,1980-10-12,1,lic-670/801069803,1999-7-16,yes,yes,UK11195065831665486
mem-3455901,Shyla,Hartwell,F,+33 632 100040,Shyla.Hartwell80@gmail.com,2017-08-23,1994-2-17,0,,,yes,yes,UK34857322769178950
mem-8181614,Kimberley,Pacifico,M,+33 632 532642,Kimberley-Pacifico71@HEC.com,2017-04-08,1975-7-6,0,,,no,no,DE36412495687791381
mem-6274663,Keeley,Hutcheson,M,+33 632 902470,Keeley.Hutcheson47@outlook.com,2017-08-30,1981-9-8,0,,,yes,yes,UK33172236641883810
mem-6510063,Keeley,Escobar,F,+33 632 787415,Keeley_Escobar56@HEC.com,2019-07-03,1989-7-24,0,,,yes,no,UK72470679269866321
mem-4862913,Mao,Iraheta,M,+33 632 641308,Mao-Iraheta45@hotmail.com,2018-03-03,1976-11-12,0,,,yes,yes,LU22919985662266450
mem-8185304,Lynetta,Wertman,M,+33 632 257107,Lynetta-Wertman91@HEC.com,2019-09-07,1992-4-9,0,,,yes,yes,UK92794452831841904
mem-5503483,Jaleesa,Bearden,M,+33 632 951418,Jaleesa_Bearden66@outlook.com,2019-12-19,1986-10-28,0,,,no,no,UK26149979325893605
mem-7318914,Kimberley,Watlington,F,+33 632 937558,Kimberley_Watlington38@yahoo.com,2018-07-08,1983-5-15,0,,,no,yes,DE52358497719033195
mem-1906036,Mao,Hartwell,F,+33 632 379350,Mao.Hartwell50@hotmail.com,2017-03-29,1973-1-21,0,,,yes,no,LU76286280257661254
mem-8047078,Keeley,Watlington,M,+33 632 526826,Keeley-Watlington88@HEC.com,2019-08-23,1969-10-18,0,,,yes,yes,UK78724011852169988
mem-7539417,Kimberley,Shelley,M,+33 632 947283,Kimberley_Shelley95@mail.com,2017-02-22,1966-2-18,0,,,no,no,FR33839019934115430
mem-4672564,Mao,Hutcheson,F,+33 632 200916,Mao-Hutcheson81@hotmail.com,2019-01-10,1970-4-9,0,,,yes,yes,LU62574880976442143
mem-6704528,Lynetta,Callejas,F,+33 632 461423,Lynetta_Callejas82@outlook.com,2019-05-15,1979-7-9,0,,,no,no,UK82304339086129307
mem-2559009,Maribeth,Iraheta,F,+33 632 504738,Maribeth-Iraheta93@yahoo.com,2018-10-12,2000-3-26,1,lic-530/645295820,2018-5-20,no,yes,LU75795583661226721
mem-3255089,Marcy,Bearden,M,+33 632 220043,Marcy-Bearden15@mail.com,2019-11-25,1977-2-5,1,lic-219/236466671,1996-9-13,no,yes,FR87804399327771393
mem-7424153,Tam,Escobar,F,+33 632 910078,Tam.Escobar31@hotmail.com,2019-06-12,1979-6-10,0,,,yes,yes,LU39649336493349743
mem-1486665,Maribeth,Iraheta,M,+33 632 868439,Maribeth_Iraheta89@hotmail.com,2017-10-27,1988-4-23,0,,,no,yes,FR73951360649839352
mem-2817067,Kimberley,Pointer,M,+33 632 988395,Kimberley-Pointer53@outlook.com,2018-05-07,1990-8-25,0,,,no,yes,DE16983048831797453
